Vehicle_ID,In_Out,Filename_ID,Frame_Number_0_index,Frames_Seen,Frames_Since_Last_Detection_Event,Time_of_Detection (s),Time_Seen (s),Time_Since_Last_Detection_Event (s),Vehicle_Type,Angle,Angle_Degrees,Speed_Px_Per_Frame,Speed_Px_Per_Second,Event_Center_X,Event_Center_Y
1,Out,1,4,4,4,0.4,0.3,0.4,car,[   -0.59348    -0.80485],-126.40408856307904,61.50203248673982,615.0203248673982,295.5,639.0
4,In,1,5,5,5,0.5,0.4,0.5,car,[   -0.15799    -0.98744],-99.09027692082232,12.658988901172163,126.58988901172164,555.0,194.0
3,Out,1,18,18,18,1.8,1.7,1.8,car,[   -0.62378     -0.7816],-128.59255971746683,66.53006839016476,665.3006839016475,320.0,955.0
5,In,1,18,18,18,1.8,1.7,1.8,car,[   -0.21693    -0.97619],-102.52880770915151,13.82931668593933,138.2931668593933,564.0,202.0
28,In,1,18,5,5,1.8,0.4,0.5,car,[   -0.72919    -0.68431],-136.81830296445185,44.5701693961331,445.70169396133105,1615.0,636.0
4,Out,1,21,21,16,2.1,2.0,1.6,car,[    -0.5906    -0.80696],-126.1998021236195,85.5058477532385,855.058477532385,265.0,692.0
28,Out,1,27,14,9,2.7,1.3,0.9,car,[   -0.45269    -0.89167],-116.91655461695134,36.44859393721519,364.48593937215196,1357.5,990.5
6,In,1,30,30,30,3.0,2.9,3.0,car,[   0.099504    -0.99504],-84.28940686250037,10.04987562112089,100.4987562112089,650.0,193.0
10009,Out,2,7,7,7,0.2355792090909091,0.20192503636363637,0.2355792090909091,car,[          0           1],90.0,0.5,14.856998686371188,205.5,86.0
10001,Out,2,22,22,22,0.7403918,0.7067376272727273,0.7403918,car,[    0.89443    -0.44721],-26.56505117707799,2.23606797749979,66.44251800870211,726.5,283.5
92,In,2,31,7,7,1.0432793545454546,0.20192503636363637,0.2355792090909091,car,[    -0.5547     0.83205],123.69006752597979,7.211102550927978,214.27068225284978,382.0,422.0
10004,Out,2,55,55,55,1.8509795,1.8173253272727274,1.8509795,car,[   -0.70711     0.70711],135.0,1.4142135623730951,42.02193807685079,255.5,85.5
10010,Out,2,92,90,92,3.096183890909091,2.995221372727273,3.096183890909091,car,[    0.85749     -0.5145],-30.96375653207352,2.9154759474226504,86.63044464201022,732.0,282.0
171,In,2,105,7,7,3.5336881363636365,0.20192503636363637,0.2355792090909091,car,[          0           1],90.0,6.0,178.28398423645427,228.0,423.5
10007,Out,2,122,122,122,4.105809072727273,4.0721549,4.105809072727273,car,[    0.85166     -0.5241],-31.6075022462489,7.632168761236874,226.7822425197189,725.0,381.5
92,Out,2,146,122,115,4.913509218181819,4.0721549,3.870229863636364,car,[   -0.44721     0.89443],116.56505117707799,1.118033988749895,33.221259004351055,257.5,85.5
238,In,2,172,7,7,5.788517709090909,0.20192503636363637,0.2355792090909091,car,[   -0.54076     0.84118],122.7352262721076,8.32165848854662,247.26973846553355,377.5,420.0
10006,Out,2,189,189,189,6.360638645454546,6.326984472727273,6.360638645454546,car,[        0.8        -0.6],-36.86989764584402,2.5,74.28499343185594,725.5,275.0
171,Out,2,219,121,114,7.370263827272727,4.038500727272727,3.836575690909091,car,[          0           1],90.0,1.5,44.57099605911357,210.0,86.0
281,In,2,249,7,7,8.37988900909091,0.20192503636363637,0.2355792090909091,car,[   -0.66896     0.74329],131.98721249581666,6.726812023536855,199.88047479430594,383.5,422.5
10008,Out,2,252,252,252,8.480851527272728,8.447197354545455,8.480851527272728,car,[    0.98058    -0.19612],-11.309932474020213,2.5495097567963922,75.75612621522906,728.0,283.5
238,Out,2,283,118,111,9.524130881818182,3.9375382090909095,3.735613172727273,car,[   -0.70711     0.70711],135.0,1.4142135623730951,42.02193807685079,254.0,85.5
310,In,2,298,8,8,10.028943472727272,0.2355792090909091,0.26923338181818185,car,[   -0.70711     0.70711],135.0,5.656854249492381,168.08775230740315,400.0,422.5
333,In,2,319,6,6,10.7356811,0.16827086363636365,0.20192503636363637,car,[  -0.071247     0.99746],94.08561677997488,7.0178344238090995,208.5279136314046,222.0,424.0
261,In,2,321,129,130,10.802989445454546,4.30773410909091,4.375042454545455,car,[    0.44721    -0.89443],-63.43494882292201,1.118033988749895,33.221259004351055,431.5,85.5
